0,17
1,25
2,41
3,56
4,80
5,106
6,132
7,170
8,213
9,259
10,304
11,362
12,426
13,492
14,565
15,638
16,724
17,813
18,910
19,1018
20,1115
21,1261
22,1383
23,1526
24,1669
25,1775
26,1873
27,2009
28,2126
29,2247
30,2360
31,2460
32,2618
33,2699
34,2763
35,2800
36,2858
37,2923
38,2977
39,3050
40,3117
41,3202
42,3285
43,3387
44,3493
45,3599
46,3827
47,4024
48,4299
49,4628
50,4985
51,5436
52,5854
53,6551
54,7198
55,8029
56,9023
57,10139
58,11537
59,13195
60,14873
61,16843
62,19383
63,21990
64,25074
65,28595
66,32380
67,35834
68,40089
69,44827
70,50128
71,56474
72,62623
73,68910
74,74134
75,79856
76,87644
77,94542
78,102324
79,109540
80,115904
81,121657
82,127404
83,134934
84,143178
85,150161
86,158674
87,165343
88,170362
89,176058
90,183399
91,190060
92,196884
93,203343
94,209514
95,213425
96,218130
97,225103
98,231734
99,237620
100,243462
101,249091
102,252865
103,257150
104,263074
105,269816
106,275551
107,281137
108,285531
109,289942
110,293618
111,299377
112,304606
113,309945
114,315156
115,319603
116,323282
117,326867
118,331564
119,336290
120,341382
121,346225
122,350529
123,353815
124,357281
125,361156
126,366475
127,371236
128,376160
129,380337
130,383730
131,386926
132,391677
133,396654
134,402318
135,407287
136,411677
137,415298
138,418610
139,423425
140,428650
141,433717
142,438441
143,442792
144,446241
145,449805
146,456431
147,461729
148,467009
149,472175
150,476721
151,480257
152,484207
153,489604
154,494722
155,500028
156,504930
157,509590
158,513205
159,516824
160,521901
161,526837
162,532058
163,537270
164,541865
165,545532
166,549187
167,554682
168,560228
169,565702
170,571196
171,576227
172,580453
173,584303
174,589822
175,595655
176,601483
177,607075
178,612146
179,616513
180,620589
181,626299
182,633431
183,639782
184,645967
185,651681
186,656005
187,660204
188,665782
189,672741
190,679525
191,685891
192,691418
193,695880
194,700322
195,706541
196,713427
197,719909
198,726373
199,732012
200,736862
201,741391
202,747897
203,754740
204,761357
205,767386
206,772908
207,777497
208,781824
209,788201
210,794949
211,801206
212,807334
213,812743
214,817093
215,821463
216,827565
217,833960
218,840066
219,845814
220,851184
221,855437
222,859670
223,865596
224,871949
225,877927
226,883767
227,888684
228,892893
229,896744
230,901211
231,907442
232,913441
233,919257
234,924286
235,928248
236,932632
237,938633
238,944725
239,950299
240,955760
241,960961
242,965115
243,969252
244,974976
245,981310
246,987160
247,992979
