0,580
1,845
2,1317
3,2015
4,2800
5,4581
6,6058
7,7813
8,9823
9,11950
10,14553
11,17391
12,20630
13,24545
14,28266
15,31439
16,34876
17,37552
18,40553
19,43099
20,45134
21,59287
22,64438
23,67100
24,69197
25,71329
26,73332
27,75184
28,75700
29,76677
30,77673
31,78651
32,79205
33,80087
34,80828
35,81820
36,83112
37,84615
38,86604
39,88585
40,90443
41,93016
42,95314
43,98425
44,102050
45,106099
46,109991
47,114381
48,118948
49,126214
50,134509
51,145416
52,156475
53,169511
54,182431
55,198161
56,218843
57,244988
58,275680
59,305132
60,337612
61,379105
62,422940
63,471497
64,532491
65,597044
66,663805
67,724220
68,786006
69,859798
70,936851
71,1016948
72,1118684
73,1203505
74,1275007
75,1349051
76,1434167
77,1518614
78,1604252
79,1698881
80,1779842
81,1852365
82,1923937
83,2001681
84,2086332
85,2181334
